Sl no,Tweets,Search key,Feeling
3902," #75: @KING$TULIP🥀 ed ""RT @RidiculousDak: Anxiety: aren’t you like...worried? Me: about what? Anxiety: idkMe: oh my god you’re right https://t.co/oGwPrCEFi7""",anxiety,fear
3903," #76: @Essie // The Skin Careless ed ""Dodged a bit of a health scare that made my weekend anxiety-filled! And just now coming down with a flu 😷 Hopefully I'll catch a break soon""",anxiety,fear
3904," #77: @Desiree🤪 ed ""RT @YUNGBANS: Fuck anxiety""",anxiety,fear
3905," #78: @Kiyotaka Ishimaru ed ""I've worked myself so hard even the smallest things send me into the throes of panic and anxiety!...Oh! I'm sorry, I mean, forget beam! Hahaha! I love jokes.""",anxiety,fear
3906," #79: @Joe McNelis ed ""Ohio could be 1st state to allow medical marijuana for depression, insomnia https://t.co/0jtq80INCf via @enquirer""",anxiety,fear
3907," #80: @Kim ed ""RT @KrisRey19: ⭐ARC GIVEAWAY of THE SPINNER OF DREAMS!⭐If you like cursed cinnamon roll girls w/anxiety & panic; gay gentleman foxes; magic…""",anxiety,fear
3908," #81: @Luimbe ed ""RT @_EthanGrey: A new study confirms that Iowa went from Obama to Trump not because of economic anxiety, but rather because white voters re…""",anxiety,fear
3909," #82: @Alyssa Woods ed ""ANXIETY IS SUCH A FUN ILLNESS I AM HAVING THE TIME OF MY LIFE https://t.co/4soZoAmPBZ""",anxiety,fear
3910," #83: @JE Snowden ed ""@badtakejustin It's almost like giving fans what they think they want  removes any of the tension and anxiety necessary to propel good wrestling storylines....""",anxiety,fear
3911," #84: @❁ kayleigh ❁ ed ""RT @RidiculousDak: Anxiety: aren’t you like...worried? Me: about what? Anxiety: idkMe: oh my god you’re right https://t.co/oGwPrCEFi7""",anxiety,fear
3912," #85: @lιndѕ ed ""How many anxiety attacks will i have at the airport today""",anxiety,fear
3913," #86: @CreativeDbq ed ""If your anxiety level about nature is high, you are right to worry...https://t.co/x5RlGCbBlN""",anxiety,fear
3915," #1: @𝖇𝖗𝖎 𖤐 ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3916," #2: @aj ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3917," #3: @Drake Saxton ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3918," #4: @milly👑 . ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3919," #5: @Victoria R. Barahona ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3920," #6: @lilli ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3921," #7: @FMOIG @mikewont_ ed ""RT @MzTrophyz: @MikeWont_ Man people are weird AF!!! 😑😑 like I immediately blocked his ass! Don’t do that! And this damn “sugar daddies” th…""",disgust,disgust
3922," #8: @becca p ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3923," #9: @livy ♛♡ ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3924," #10: @adriana 🥀 ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3925," #11: @Kalia🍯 ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3926," #12: @Liam ed ""there’s a lot of guys out there tulad niya. imagine the lives of the victims who have to live with the trauma and disgust habang sila naglalakad lang, naghahanap ng susunod na victim""",disgust,disgust
3927," #13: @common sense ed ""@thronesfacts Shes not crazy thats just a look of disgust""",disgust,disgust
3928," #14: @spanky ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3929," #15: @karina ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3930," #16: @r. ed ""RT @tenjoshinki: @wontouni Just wanna add:It speaks highly about our classic resources esp those vegetables. Just whatever they could fin…""",disgust,disgust
3931," #17: @breanna ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3932," #18: @Nadia Polsinelli ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3933," #19: @Rose 🐻 ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3934," #20: @Finola Dunphy ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3935," #21: @Dykestra's Algorithm ed ""RT @MoranSketch: please stop putting your nasty brie larson thirst on my fucking timeline you lesbians have no god damn taste thirsting ove…""",disgust,disgust
3936," #22: @Dawn D ed ""(shaking head in disgust) https://t.co/sbZdbCATis""",disgust,disgust
3937," #23: @grace ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3938," #24: @гαсηει ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3939," #25: @Killa ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3940," #26: @Kimia ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3941," #27: @simran kaur ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3942," #28: @Char ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3943," #29: @plsleave ed ""one more  about the royal family and I’ll shriek there IS NO REASON FOR THE COUNTRY TO STILL BE THIS ROYALIST ESP WITH THE HISTORY ASSOCIATED W THE ROYAL FAMILY YOU ALL DISGUST ME ESPECIALLY THESE NEWSPAPERS WHO WILL PUSH THE STORY""",disgust,disgust
3944," #30: @phoenix5628 ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3945," #31: @Stephanie 🌸 ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3946," #32: @Angie ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3947," #33: @Carla ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3948," #34: @Sami™️ ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3949," #35: @Nixus ed ""@JackEastman64 Not a good look. Especially on the world stage. Other Leaders will look at him with mistrust and disgust.""",disgust,disgust
3950," #36: @cinnamon apple ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3951," #37: @Hayley Hadsell ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3952," #38: @laur🤷🏽‍♀️ ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3953," #39: @Brittney Tatt ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3954," #40: @ria ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3955," #41: @dana 🥰 ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3956," #42: @Princess the flannfluga vagina holster🦹🏿‍♀️ ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3957," #43: @F&#$ The USA ed ""RT @freedomgirl2011: USA,Israeli government officials s on Israel's military attack on Gaza,disgust us ALLWE recognizes they are in…""",disgust,disgust
3958," #44: @Taylor Matthys🎃🕸 ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3959," #45: @abbs ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3960," #46: @Ron Dadoron ed ""@RadioFreeTom Thank you. I opened up the column & immediately saw Douthat is pushing Barr's lie that a legitimate FBI CI was ""spying"", was overwhelmed with disgust, & shut it down w/o reading. Your thread taking @DouthatNYT down for his dishonest bootlicking was encouraging.""",disgust,disgust
3961," #47: @Clare Bear ✨ ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3962," #48: @ali ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3963," #49: @Jojo 🐧 ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3964," #50: @𝐵𝒶𝒾𝓁𝑒𝓎 ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3965," #51: @Honey Faye Hill 🍯🌈🌴 ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3966," #52: @Karla Hernandez ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3967," #53: @Arlene ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3968," #54: @Kaitlin ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3969," #55: @oriana ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3970," #56: @hayl ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3971," #57: @Mrs. Krance ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3972," #58: @not madison ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3973," #59: @Jo Khalifa ed ""@Ilhan Hey, what do you think of those poor kids being used and trained in that Pennsylvania video. No disgust? No disdain? That's normal in your world?  Why aren't you quick to speak out on this one?  You're despicable and need to go""",disgust,disgust
3974," #60: @A.K.A. IndyJones ed ""RT @kurtbardella: I won’t speak for anyone else but I joined the Democratic Party not just out of my disdain or disgust with @realDonaldTru…""",disgust,disgust
3975," #61: @@theglitterapron ed ""RT @DLauro: @KwikWarren @veterans_i Prison guards regard all prisoners with contempt and disgust. Her skin color didn't help and probably c…""",disgust,disgust
3976," #62: @Nikki 🌺 ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3977," #63: @Christoph Luig ed ""@Styx666Official Youtube Channel just got blocked in Germany. I'm disgust by the fact, we didn't learn from our past. #Censorship #YouTube Also RT is flaged to be state founded and ARD, ZDF and other german state founded media isn't flagged. Propaganda at its finest.""",disgust,disgust
3978," #64: @Buzzkillington ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3979," #65: @ᴇᴍᴍᴀ ᴅᴀᴠɪᴅsᴏɴ ᴀᴄᴛ ☀️ ed ""RT @timhollo: I hear so much dissatisfaction and disgust in the Canberra community about the state of government in Australia. It’s time to…""",disgust,disgust
3980," #66: @Nat ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3981," #67: @rosannemiller ed ""USA,Israeli government officials s on Israel's military attack on Gaza,disgust us ALLWE recognizes they are in the same violent,thieving,terrorist club.WE are not going to change their character.I am sending reports of loss to those that care,and can be of aide. https://t.co/ru3xtMh2Es""",disgust,disgust
3982," #68: @Nora ed ""lmfao euron really has carcked it, cercei literally looks at him with disgust and he's just like 😍😍😍 dumbass""",disgust,disgust
3983," #69: @kaley ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3984," #70: @R Knight ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3985," #71: @shiarre ❣️ ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3986," #72: @Spare Head 3 ed ""The Nazi Trump Cabal clearly aims to cause as much mischief as it can before they are all rightly unceremoniously ejected from office (and hopefully into prison) in 2020. The rest of the world needs to express its disgust and opposition to these sick and rampant imperialists 🤮 https://t.co/YVBtOw9qkL""",disgust,disgust
3987," #73: @Lakshmipathi Vadlako ed ""RT @Ram_Guha: On our PM: ""A disgust for political adversaries, a measured silence towards the  marginalised & the unemployed, a morbid mock…""",disgust,disgust
3988," #74: @Emi 💋 ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3989," #75: @iulia ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3990," #76: @bratalie🐝 ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3991," #77: @Bailey Andrew ed ""RT @lindseyyx2: A 26 year old man kidnapped, raped & impregnated a 11 year old girl in Ohio. & thanks to their heartbeat bill she will now…""",disgust,disgust
3992," #1: @Paul Dent ed ""RT @NickWiltonNS: Take a look at this @guyverhofstadt and @JunckerEU - and see where you’re”European Values” are taking us! Riot police abu…""",sicken,disgust
3993," #2: @Nik ed ""RT @NickWiltonNS: Take a look at this @guyverhofstadt and @JunckerEU - and see where you’re”European Values” are taking us! Riot police abu…""",sicken,disgust
3994," #3: @Heather Venter ed ""RT @NickWiltonNS: Take a look at this @guyverhofstadt and @JunckerEU - and see where you’re”European Values” are taking us! Riot police abu…""",sicken,disgust
3995," #4: @Pax Christus ed ""@BrianSimsPA @PPFA @PPact @PPAdvocatesPA You sicken me.""",sicken,disgust
3996," #5: @محمد ed ""Is fb story really the place to post thirst traps some people sicken me""",sicken,disgust
3997," #6: @JTJ ed ""RT @NickWiltonNS: Take a look at this @guyverhofstadt and @JunckerEU - and see where you’re”European Values” are taking us! Riot police abu…""",sicken,disgust
3998," #7: @thin blue geek line ed ""@JenAshleyWright @itsa_talia Such stories sicken me, but almost all of them got an ""I'm sorry..."" reply on here. Why is anyone but the guy involved apologising? Maybe it's an American linguistic for sympathy, but I don't get it.To me, strength includes *not* apologising when you've done nothing wrong.""",sicken,disgust
3999," #8: @Bora -윤보라- ed ""If music be the food of love, play on,Give me excess of it; that surfeiting,The appetite may sicken, and so die.""",sicken,disgust
4000," #9: @CinaedhVik ed ""@LanceSEdwards1 That this continues, and that the Western politicians don't even want to acknowledge it, continues to sicken and infuriate me.""",sicken,disgust
4001," #10: @bearandbull ed ""RT @NickWiltonNS: Take a look at this @guyverhofstadt and @JunckerEU - and see where you’re”European Values” are taking us! Riot police abu…""",sicken,disgust
4002," #11: @Stephen Hone ed ""@krn_brk @Xhakaed You sicken me brick first the Beatles and now this?!?! Can’t be having it""",sicken,disgust
4003," #12: @Margaret Robinsonh ed ""RT @NickWiltonNS: Take a look at this @guyverhofstadt and @JunckerEU - and see where you’re”European Values” are taking us! Riot police abu…""",sicken,disgust
4004," #13: @The Donald Comes ed ""M̹̩̜͓̪̖Ḁ̜KḘ͎ ̫̱͍͚A̯͇͉̣̖̜M͕̫ERI̟C̠͚̺A ̩̲̹͎͚̤̣S̤̹IC̩̞̺̰̲̟KEN̥̞͖ ̣̹̰̱͈̩̥A̭̬͎̱̳͍̫GA͉̪I̞͚̣̳N̠̬̭͓̤""",sicken,disgust
4005," #14: @The Stief ed ""I’m so very excited for this week!! So many media interviews booked .. but @bethcoombs_ is my favorite. #sicken@624""",sicken,disgust
4006," #15: @Phil Kershaw ed ""RT @NickWiltonNS: Take a look at this @guyverhofstadt and @JunckerEU - and see where you’re”European Values” are taking us! Riot police abu…""",sicken,disgust
4007," #16: @MMAs LIllA Pjke ed ""@johnande @sthlmsbabe Men! Är det inte farbrorn som inte ville bli stor? Sicken GIF det här ändå måste vara.""",sicken,disgust
4008," #17: @Donnie Plainview ed ""their lifestyle is allowed to sicken me and i am allowed to be sickened by it moving forward (beyond reasonable doubt)""",sicken,disgust
4009," #18: @Ed Miliband's Yellow Vest Ghost 🇬🇧 🚜🐄🐖🐓💂 ed ""RT @NickWiltonNS: Take a look at this @guyverhofstadt and @JunckerEU - and see where you’re”European Values” are taking us! Riot police abu…""",sicken,disgust
4010," #19: @Jill ed ""RT @NickWiltonNS: Take a look at this @guyverhofstadt and @JunckerEU - and see where you’re”European Values” are taking us! Riot police abu…""",sicken,disgust
4011," #20: @Nick Wilton ed ""Take a look at this @guyverhofstadt and @JunckerEU - and see where you’re”European Values” are taking us! Riot police abusing a cripple! You sicken me! https://t.co/rpmijYpLvs""",sicken,disgust
4012," #21: @NWA 🌹for #Bernie2020 ed ""@yusuf_VI @IbrahimAS97 It's always sicken me how she laughed at the way he died She hates men Married to a cheater all these years has screwed w/her She needs mental health not a bottle of liquor🍸🍺🍹""",sicken,disgust
4013," #22: @Mesalina ed ""@sossesoppa @anderslindberg Sicken hycklare den där Anders är! En riktig sossenolla""",sicken,disgust
4014," #23: @Mot vals ed ""RT @JonathanBessou: Sossarna har systematiskt i skymundan nedmonterat den svenska rättsäkerheten.Sicken tur att vi va 60% av Sverige röst…""",sicken,disgust
4015," #24: @Kay hicks ed ""Correct where bro.  I’m losing my fucking eyesight you know how much pain that Is. It sicken really fucking bad.  But there’s a difference between legally and actually being blind I’m in the middle of both.""",sicken,disgust
4016," #25: @Stefanie Simpson ed ""@mischa_eliot Unable to act because of the response her behaviour elicits in me. I've been harassed etc and can block most ppl without a second thought, this person's tactics sicken me.""",sicken,disgust
4017," #26: @cj hannum🍑 ed ""RT @randyvera: @AdamSerwer @MiaFarrow This should sicken everyone""",sicken,disgust
4018," #27: @Carol L. Binks ed ""RT @JacqRice: Can't enjoy our backyard when neighbors' #dryersheets sicken us & #pollute the air.  Suggesting #dryerballs (our treat). It's…""",sicken,disgust
4019," #28: @SmellHell ed ""RT @JacqRice: Can't enjoy our backyard when neighbors' #dryersheets sicken us & #pollute the air.  Suggesting #dryerballs (our treat). It's…""",sicken,disgust
4020," #29: @Kurikat_Kate #CybernatKate.🏴󠁧󠁢󠁳󠁣󠁴󠁿 ed ""@missallot @MrMalky Beat them at their own game..Be proud to be a cybernat..Take it on & sicken them..https://t.co/8CMCpnNWM2""",sicken,disgust
4021," #30: @Steffan Leyden ed ""Snapchat memories sicken my happiness.""",sicken,disgust
4022," #31: @E ed ""@CSB_DE Ich fande die ersten zwei Folgen der achten Staffel wirklich großartig, 3 und 4 fand ich bisher im Vergleich eher meh. Jedoch habe ich das Gefühl und auch die Erwartung, dass durch die 5 und 6 Episode einiges geklärt wird und GoT einen sicken Twist hinlegt, wie es nur got kann.""",sicken,disgust
4023," #32: @UKBest4Scotland ed ""RT @MarcherLord1: It’s not a deal, it’s a Surrender Note to Brussels. You sicken me https://t.co/zTw26eoNTK""",sicken,disgust
4024," #33: @L ed ""RT @GanferHaarFinn: I don’t usually try to spread fear & alarm but seriously, this should not only sicken you it should make you break out…""",sicken,disgust
4025," #34: @FASCISTS BEWARE #bluewave🌊🌊🌊 ed ""@Lady_Star_Gem Why are these people such selfish assholes? Do they not believe they can sicken others, or just not care?""",sicken,disgust
4026," #35: @Kevin Hyde ed ""RT @MarcherLord1: It’s not a deal, it’s a Surrender Note to Brussels. You sicken me https://t.co/zTw26eoNTK""",sicken,disgust
4027," #36: @Chris E ed ""RT @MarcherLord1: It’s not a deal, it’s a Surrender Note to Brussels. You sicken me https://t.co/zTw26eoNTK""",sicken,disgust
4028," #37: @Sir_MDiin💞 ed ""@Abbah_dange1 Hahaha kaga ramadan yazo many hiden sicken go come out.""",sicken,disgust
4029," #38: @Fettman501 ed ""@TheLadyColumbia 1. Low grade diamonds are overpriced due to artificial scarcity and decades of unscrupulous marketing. (""Chocolate"" diamonds especially sicken me.)2. Not enough money.3. The ability to have artificial gemstones, chemically identical to natural ones, for a fraction of the price.""",sicken,disgust
4030," #39: @eva eriksen ed ""RT @JonathanBessou: Sossarna har systematiskt i skymundan nedmonterat den svenska rättsäkerheten.Sicken tur att vi va 60% av Sverige röst…""",sicken,disgust
4031," #40: @Imp Anthrax ed ""@ImStrobey @kingetsy @DeadSylentPlays @SickenSnipes @AstroAvery1 Idk about the rest but I 100% know Sicken is""",sicken,disgust
4032," #41: @LiLMiKU ed ""@Seminarly @round_boys @jonasstrandberg NEMEN SICKEN GULLEPLUTT""",sicken,disgust
4033," #42: @fred ed ""@Anders_Trading stänger på 180, sicken natt o morgon""",sicken,disgust
4034," #43: @mooseman ed ""@EstherMcVey1 @bluecollartory_ What a load of old bollocks. All you lot do is gently caress the plums of the rich. You sicken me.""",sicken,disgust
4035," #44: @What’s right not who’s right ed ""@BrianSimsPA It  was a scary world for that lovely lovely elderly woman you harassed& bullied -does it sicken you to know you are everything you hate??""",sicken,disgust
4036," #45: @Meurah Surya Usang. ed ""RT @alunantenang: ㅤMusic, when soft voices die, Vibrates in the memory; Odours, when sweet violets sicken, Live within the sense the…""",sicken,disgust
4037," #46: @Andrew Phillips Hayes ed ""The dark intent behind mandatory vaccination is now emerging. To sicken & exterminate we the people before we wake up to their thinning the herd agenda(21). https://t.co/72Lr38wWU5""",sicken,disgust
4038," #47: @Quay Keith ed ""I'll go without sex for 100 years before I become a thirsty ass dude. Thirsty dudes sicken me. You might as well be a wild animal""",sicken,disgust
4039," #48: @Kjell L ed ""RT @JonathanBessou: Sossarna har systematiskt i skymundan nedmonterat den svenska rättsäkerheten. sicken tur att vi va 60% av Sverige röst…""",sicken,disgust
4040," #49: @Oskar Andreasson ed ""Sicken start på den nya veckan. Terminer upp 13.6% på SP visen. HFerna är rekord nettokorta. Fint detta, en äkta detox för börshumöret. https://t.co/Lgqc9Eixhe""",sicken,disgust
4041," #50: @Filippa ed ""Jäklar sicken effektiv labb-syrra! Fyra rör på under två minuter och då är jag inte lättstucken på nåt vis (gammal blodgivare).""",sicken,disgust
4042," #51: @Tim but Better ed ""Y’all sicken me.""",sicken,disgust
4043," #52: @Rielle♏️ ed ""RT @sierraaaaaa1727: YALL IM SICKENED. NIGGAS SICKEN ME. IF A GIRL IS DRUNK LET HER BE. REGARDLESS OF WHAT SHE MAY BE SAYING. SICKEND.""",sicken,disgust
4044," #53: @❌RonPaul4Constitution  ⏳⭐⭐⭐ ed ""RT @Kman08725279: @JeffWoke @KevinJOsborne @AndrewLazarus4 @KWalksAgain @Just2BiZI @LilEarthling369 @sgtrolls3 @4everleather1 @CplBart @Col…""",sicken,disgust
4045," #54: @The_Master_of_Disguise_Ebooks ed ""That is a mistake. You sicken me.""",sicken,disgust
4046," #55: @Car 🌞 ed ""@k_lyn19 @nasia_nichols @summeraearnold SICKEN ME""",sicken,disgust
4047," #56: @a.king ed ""RT @sierraaaaaa1727: YALL IM SICKENED. NIGGAS SICKEN ME. IF A GIRL IS DRUNK LET HER BE. REGARDLESS OF WHAT SHE MAY BE SAYING. SICKEND.""",sicken,disgust
4048," #57: @Sawyer   Barebones ed ""@IlhanMN Bla bla bla.  You sicken me""",sicken,disgust
4049," #58: @paul j sweeney ed ""@meerkatrodeo As an old soldier Chicken Hawks sicken me.""",sicken,disgust
4050," #59: @Susan Balamaci ed ""@VP As a nurse, and a mother, your words sicken me. Why don't you stop lying about infanticide and repair the suffering you've caused innocent children ripped from their grieving parents' arns? If you honestly cared about the lives of infants and children, you wouldnt torture them.""",sicken,disgust
4051," #60: @Eringobiteme ed ""@LouDobbs Showing your true colors. Democracy doesn't matter, only power for white men. You sicken me.""",sicken,disgust
4052," #61: @Nella✌️ ed ""RT @ThatOneShanice: Sundays I avoid the TL at all cost cause GOT fans does sicken me""",sicken,disgust
4053," #62: @ObamaTheTurkey ed ""RT @Myletitsnow: @HeatherSetzler @BillKristol Dream on!! Damning info will destroy the Democrats!! A President spying on a Presidential can…""",sicken,disgust
4054," #63: @Angie Padgett ed ""THIS should sicken and disgust EVERY American. #GazaUnderAttack https://t.co/lov3UmlczT""",sicken,disgust
4055," #64: @Donarudo Taranpu ed ""@TinaSmithMN @dscc Trampling all over someone's rights again, huh Democrats. God you people and your backwards morality just sicken me.""",sicken,disgust
4056," #65: @LovesAmerica⭐️⭐️⭐️ ed ""@HeatherSetzler @BillKristol Dream on!! Damning info will destroy the Democrats!! A President spying on a Presidential candidate from the opposition party is ok? You are in for a rude awakening!! All the horrors that have been committed will sicken you!!""",sicken,disgust
4057," #66: @robyn kern ed ""@andrewkirtzman Is that so perp protector, you sicken me!""",sicken,disgust
4058," #67: @trellyy.y ed ""girl tha hoes is sicken 😩😂""",sicken,disgust
4059," #68: @Maya Aktar ed ""Imo sicken record video adio sound awit systems""",sicken,disgust
4060," #69: @Sierra ed ""YALL IM SICKENED. NIGGAS SICKEN ME. IF A GIRL IS DRUNK LET HER BE. REGARDLESS OF WHAT SHE MAY BE SAYING. SICKEND.""",sicken,disgust
