,usuario,texto,depressao,texto_traduzido
649,Noname83661988,"Eu fisicamente tenho os melhores genes da minha família, e os piores psicologicamente.
Eu não engordo e tenho o corpo ""sarado"" naturalmente, tenho bundao, sou pardo e meu cabelo é razoavelmente bom.
Porém minha família tem histórico de depressão, ansiedade e esquizofrenia❤",1,"I physically have the best genes in my family, and the worst psychologically.
I don't get fat and my body is ""healed"" naturally, I have a butt, I'm brown and my hair is reasonably good.
But my family has a history of depression, anxiety and schizophrenia❤"
650,loonalv,"só queria sumir, de verdade",0,"I just wanted to disappear, really"
651,a_gabi_linhares,"Neste dia Mundial da Alfabetização, é preciso reconhecer o trabalho dos profissionais da educação e voluntários que se dedicam a erradicar o analfabetismo do país.  

#DiaMundialDaAlfabetização #TaxaDeAnalfabetismo #Brasil #MaisEducação https://t.co/HSHn9C1mdw",0,"On this World Literacy Day, it is necessary to recognize the work of education professionals and volunteers who are dedicated to eradicate illiteracy in the country.

# DiaMundialDaAlfabetização #TaxaDeAnalfabetismo #Brasil # MaisEducação https://t.co/HSHn9C1mdw"
652,opedrorenno,"Aliado é trabalhador, o que não tem consciência de classes, vai querer um algo a mais no fim das contas.",1,"Ally is a worker, who is not class conscious, will want something more after all."
653,geniusintheroom,mn painho é mt fofoqueiro rindo,1,mn painho is very gossip laughing
654,expansaomental,Fui diagnósticado com Depressao e Ansiedade o melhor dos dois Mundos ❤️,1,I was diagnosed with Depression and Anxiety the best of both Worlds ❤️
655,aceciliag_,"é família sendo destruída, depressão piorando cada vez mais, saúde horrível, cheia de problema no serviço e eu ainda sou obrigada a ouvir que eu não tenho nada pra sofrer, tomar no cu também",1,"it's family being destroyed, depression getting worse and worse, horrible health, full of problems in the service and I'm still forced to hear that I have nothing to suffer, take it in the ass too"
656,SintoMuitoBlues,Fácil não é né https://t.co/iF5jIazwH3,1,Easy is not right https://t.co/iF5jIazwH3
657,vitoriaomena777,Tristeza da porrakakakkak,1,Sadness of the porrakakakkak
658,bs_arth,Eu jogando valorant quando um desgraçado n toma headshot https://t.co/oyaSYDthjr,1,I play valorant when a bastard n takes headshot https://t.co/oyaSYDthjr
659,kkkkaylinha,Foguete n tem ré,1,Rocket has no reverse
660,wtfnatan,procura-se um contatinhx que queria algo sério temporário só pra ir de casal no sítio do nicolas,0,looking for a contatinhx who wanted something serious temporary just to go as a couple on the nicolas site
661,Francy_Bandeira,Mulher que usa o feminismo pra passar pano pra esse tipo de atitude 👎🏻👎🏻👎🏻👎🏻 https://t.co/tbn5B4Uklz,0,Woman who uses feminism to give cloth to this type of attitude 👎🏻👎🏻👎🏻👎🏻 https://t.co/tbn5B4Uklz
662,Naty_snas,"6h da manhã e eu chorando já, e tendo crise https://t.co/AnPwdS2xk4",1,"6 am and I'm crying already, and having a crisis https://t.co/AnPwdS2xk4"
663,luhcolodedeus,"Produzir o #188, nosso novo CD tem sido talvez, a maior experiência com Deus dos últimos tempos.",0,"Producing # 188, our new CD has been perhaps the greatest experience with God in recent times."
664,kkkkaylinha,Amo bolo de laranja mds do céu q coisa maravilhosa,1,Love orange cake mds from heaven q wonderful thing
665,cassdirty,"No espelho estava bonito, eu juro 😜 https://t.co/M5NGFhrNtU",1,"In the mirror it was beautiful, I swear 😜 https://t.co/M5NGFhrNtU"
666,marcelissimaa,E minha mãe que toda vez que vê minha tatuagem no pé fala que nunca tinha visto,0,And my mother who every time she sees my tattoo on her foot says she’s never seen it
667,lobopicasso_,"minha tia falando que na nossa família não existe isso de depressão e ansiedade na família, sendo que tenho crise quase todo dia 🤡🤡",1,"my aunt saying that in our family there is no depression and anxiety in the family, and I have a crisis almost every day 🤡🤡"
668,anaminlu,"Ano passado a depressão que eu tenho ficou pior, tive que sair da escola no último ano para o bem da minha saúde mental. Eu quero me formar pelo encceja e ter essa sensação de orgulho que eu n tenho a muito tempo.
#confirmadataencceja2020",1,"Last year my depression got worse, I had to leave school in the last year for the sake of my mental health. I want to graduate from ceceja and have that sense of pride that I haven't had in a long time.
# confirmeddataencceja2020"
669,starbuckswarst,mentalmente e fisicamente que eu ainda jogo https://t.co/uFqua8K45l,0,mentally and physically I still play https://t.co/uFqua8K45l
670,littleanazc,"coloquei na minha cabeça que na vdd eu tenho 25 anos e já completei a faculdade de adm e estou agora trabalhando 
pq se eu for pensar que só tenho 15 anos e não faço coisas que pessoas 15 anos fazem, a depressão vai atacar",1,"put it in my head that in vdd i am 25 years old and i have already completed adm faculty and i am now working
because if I think I'm only 15 and I don't do things that 15 year olds do, depression will attack"
671,carolienn,fiz q vida do pia um inferno pra no final de tudo voce voltar pra ele sua desgraçada? nem pra me avisa pra eu nao ter uma supresa enorme ao abrir meu facebook,1,"I made the life of the sink a hell so at the end of everything you go back to him, you bastard? nor to let me know so I don't have a huge surprise when opening my facebook"
672,iamydunne,comprei um creme da mulher agora ela enche meu wpp todo dia de promoção pqp vô comprar tudo,1,I bought a woman cream now she fills my wpp every day of promotion cuz I buy everything
673,voguzjin,fui me olhar no esoenhoe  sai com #depressao,0,I went to look at esoenhoe and leaves with #depressao
674,cassdirty,"Eu até sinto vontade de expor meus sentimentos mais puro e lindo do amor que sinto por vc, mas não vale a pena eu jogar uma gota de sangue para um tubarão. É um risco que não compensa!",1,"I even feel like exposing my most pure and beautiful feelings of the love I feel for you, but it is not worth me to throw a drop of blood to a shark. It is a risk that does not pay!"
675,swiftiegguk,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA https://t.co/lZ3t1c04oi,0,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA https://t.co/lZ3t1c04oi
676,whosritad,"Estomatopatologia, imaginologia e integração clínico patológica estão me fazendo ter depressão gravíssima  https://t.co/nAIFX5v2KG",1,"Stomatopathology, imaging and pathological clinical integration are making me have severe depression https://t.co/nAIFX5v2KG"
677,GermanaAngelica,tava dormindo de boas acordei so p lembrar q um amigo de bairro q n falava a mt tempo reapareceu e ficou 2 horas ontem passando discurso vazio sobre se vc qr vc consegue qnd eu deixei claro q tenho depressão e n outros problemas................,1,I was sleeping well I woke up so I remember that a neighborhood friend who spoke a long time ago reappeared and stayed 2 hours yesterday passing an empty speech about whether you can do it and I made it clear that I have depression and other problems ....... .........
678,fxxana,"""pq um dia vc acorda bem e outro dia vc acorda desse jeito?"" uai mãe não sei será que é pq eu tenho depressão ???",1,"""why one day do you wake up well and the next day do you wake up like that?"" wow mom I don't know is it because I have depression ???"
679,Arthur_Mont13,Mas ela pode.....,0,But she can .....
680,9256cuIt,meu deus eu amo o baekhyun demais que vontade de explodir.,0,my god i love baekhyun so much that i want to explode.
681,simmerfolk,"tenho depressão e nessas ultimas horas tenho recebido muitas mensagens mandando eu me matar, parabens aos envolvidos.",1,"I have depression and in these last few hours I have received many messages telling me to kill myself, congratulations to those involved."
682,flowersnyou_,repertório infindável de dolorosas piadas,1,endless repertoire of painful jokes
683,fariananny1,"Morro um pouco a cada dia,  e a cada respirada durante os dias exaustos eu me afogo nas trevas 
#depressao #help_me #holdmyhand",1,"I die a little each day, and with every breath I take during exhausted days I drown in darkness
#depressao #help_me #holdmyhand"
684,rafaelbttncrt,fazer um curso online gratuito que é a venda de um curso online pago,1,take a free online course which is selling a paid online course
685,buyuzinha,triste https://t.co/3XA1WDJCsT,0,sad https://t.co/3XA1WDJCsT
686,trutbts,"ansiedade toc e depressão é uma porcaria eu não aguento mais isso desde que eu comecei esse tratamento essa semana tem sido a mais difícil, eu só não quero mais ): não aguento mais sentir isso no meu corpo inteiro",1,"toc anxiety and depression sucks i can't take it anymore since i started this treatment this week has been the hardest, i just don't want it anymore): i can't take it anymore in my whole body"
687,arigatogozei,kkkk aiai... bolsa de valores é o jeito mais difícil de ganhar dinheiro fácil. https://t.co/A0zw1sQYM6,1,kkkk aiai ... stock exchange is the most difficult way to earn easy money. https://t.co/A0zw1sQYM6
688,NGRS25,"Eu não deveria falar isso e nem se quer pensar nisso 
Mas as vezes eu acho que Deus não existe, tô precisando, necessitando dele mas não tem respostas, resultados N A D A",1,"I shouldn't say that and I don't even want to think about it
But sometimes I think that God doesn’t exist, I need it, I need it but I don’t have answers, results N A D A"
689,a_gabi_linhares,"O domínio da leitura e a escrita são fundamentais para avançar nos níveis de aprendizagem, fortalecer o desenvolvimento social e a capacidade de inovação de nossa economia.

#DiaMundialDaAlfabetização #TaxaDeAnalfabetismo #Brasil #MaisEducação",0,"The mastery of reading and writing are fundamental to advance the levels of learning, strengthen social development and the capacity for innovation in our economy.

#WorldAlphabetizationDay #Analiteracy Rate #Brazil #MoreEducation"
690,flowersnyou_,nossa cara eu nem tô acreditando que meu tratamento contra a depressão tá finalmente surtindo efeito tipo no começo da ano passado eu era descrente que algum tratamento um dia iria me ajudar e hj eu tô mt bem msm tendo uns dias triste eu tô aproveitando a vida,1,"Wow, I don't even believe that my treatment for depression is finally having a kind of effect at the beginning of last year. I was disbelieving that some treatment would one day help me and today I'm very well."
691,barbaraton,eu amo que minha família não acredita quando eu falo que eu tenho depressão e não levam a sério meus sintomas :),1,i love that my family does not believe when i say i have depression and do not take my symptoms seriously :)
692,chuuyain,"velho não entendo essas pessoas que não segue de volta, PORRA O BAGULHO EH PRA SEGUIR DE VOLTA CARALHO",1,"old man do not understand these people who do not follow back, FUCK THE BAGULHO EH PRA FOLLOW BACK FUCK"
693,fariananny1,"Estou nos dias em quem naonqueria nem ter saido da cama. Embora eu sei que não foz nada de errado,  mas a sensação é pior do que se eu tivesse feito #badtrip #depressão 
#momentosdebad",1,"I am in the days when I wouldn’t even have gotten out of bed. Although I know I did nothing wrong, but the feeling is worse than if I had done #badtrip # depression
#momentsdebad"
694,oitoouoitent4,lendo meu diário de qnd eu tinha 11 anos confirmei que tenho depressão desde sempre,1,reading my diary when I was 11 years old I confirmed that I have been depressed forever
695,4m3b4_,"Beijei Letícia, ela beija bem",0,"I kissed Leticia, she kisses well"
696,carolienn,quando eu estava no auge da minha depressão em meados de 2015 um pia que nao gostava de mim fez um fake pra me xingar e falou coisa do meu queixo e ate hoje eu tenho implicância com meu QUEIXO (???) por causa desse maldito,1,when I was at the height of my depression in mid-2015 a sink who did not like me made a fake to curse me and said something about my chin and even today I have an implication with my CHIN (???) because of that damn
697,BielBravo1,eis q um boy vem te ver 🤦‍♂️ https://t.co/uTtCcxmdFo,1,"behold, a boy comes to see you 🤦‍♂️ https://t.co/uTtCcxmdFo"
698,sarabyonce,"menina: mulan ficou legal 
eu: ai achei uma bosta 
yag: é isso ai, pisou nela 
eu: não pisei em ninguem não, se eu to brava com alguem é com a disney 
yag: desculpa mo, a pandemia deixa a gente louco 
eu: tudo bem 
menina; tudo bem",1,"girl: mulan looks cool
I: I found shit
yag: that's it, stepped on it
me: I didn't step on anyone, if I'm angry with someone it's with Disney
yag: sorry mo, the pandemic drives us crazy
me: alright
girl; all right"
699,kkkkaylinha,Eu tenho potencial pra tanto mas infelizmente to enfiada numa depressão q n me permite fazer NADA,1,I have potential for so much but unfortunately I'm stuck in a depression that doesn't allow me to do ANYTHING
700,Amanda07891512,"Depressão não é frescura.
Ansiedade não é frescura.
#SetembroAmarelo",1,"Depression is not freshness.
Anxiety is not freshness.
#SeptemberYellow"
701,millanesa_,tô assim https://t.co/jJVS2Qi7is,1,I'm like this https://t.co/jJVS2Qi7is
702,Francy_Bandeira,"Cachorro salchicha: o que não tem de altura, tem de ficar 100% puto do nada",0,"Salchicha dog: he who has no height, has to be 100% pissed out of nowhere"
703,wtfnatan,passei o dia fazendo um monte de coisa de gente desocupada 🤡,0,I spent the day doing a lot of idle things coisa
704,hurricanequak,"Pro pessoal que ta em tratamento de depressão e ansiedade: NÃO PAREM o tratamento depois de um ou dois meses, fiz isso e meu corpo cobrou em juros depois 

LIVE VIZELLY",1,"For people who are in treatment of depression and anxiety: DO NOT STOP the treatment after a month or two, I did it and my body charged it afterwards

LIVE VIZELLY"
705,inocentears,Medo de dizer que um dia eu shippei cs e acharam que eu sou que nem ele https://t.co/vJiwG4OozU,1,Afraid to say that one day I shipped cs and thought I am like him https://t.co/vJiwG4OozU
706,Tripacs,"Era so um abraço, se pa... sincero e tal.
Maybe uma conversa jogada fora, idk.
A que ponto de caos cheguei pqp",1,"It was just a hug, if ... sincere and such.
Maybe a conversation thrown away, idk.
What point of chaos did I get"
707,PaulaRaiane15,Agr eu entendii.....shippo dms aaaaa❤❤❤ #tainacosta #babictor #loud_victor https://t.co/kWAbb6rBl8,0,Now I understand ..... shippo dms aaaaa❤❤❤ #tainacosta #babictor #loud_victor https://t.co/kWAbb6rBl8
708,iamydunne,tem um médico aqui nos seus 50 anos que tem o mesmo nível de depressão que eu tenho e a gente se dá muito bem por causa disso,1,there is a doctor here in his 50s who has the same level of depression that I have and we get along very well because of that
709,ggukpersona,minhas tracks das últimas 4 semanas assim de saúde o the weeknd barrou o bts de tanto que eu ouço die for you https://t.co/41483FM8v2,1,my tracks from the last 4 weeks like this the weeknd stopped bts so much that i hear die for you https://t.co/41483FM8v2
710,panteraalada,Me dizem assim: Siga seus instrumentos vá sempre pela sua intuição. É o que tenho feito ultimamente.,0,"They say to me like this: Follow your instruments, always go by your intuition. That's what I've been doing lately."
711,gabriel05151734,O engraçado é que a gnt confia e vai lá espalha coisa sobre por isso que minha amg Mirela sempre falou pra mim olhe sua amizade aiiii em ? Pq não liga e fala que foi vc que está espalhado coisa minha pq? Ridícula total e isso é processo DIFAMAÇÃO DE IMAGEM.,1,The funny thing is that gnt trusts and goes there spreads something about why my amg Mirela always told me look at your friendship aiiii in? Why don't you call and say that it was you that spread my thing because? Total ridiculous and that is IMAGE SPRAYING process.
712,jeonIord,eu vou beber veneno de rato vcs tao me ouvindo dps desse capítulo eu não tenho mais vontade de sair pra fora do meu quarto essa merda toda de depressao me persegue quando acho que vai passar não passa ! eu tô fumando vários massos de cigarros aqui eu tô jogada no chao em prantos,1,"I'm going to drink rat poison, you guys are listening to me from this chapter. I don't feel like going out of my room anymore, this shit of depression chases me when I think it's going to pass! I'm smoking several masses of cigarettes here I'm on the floor in tears"
713,oitoouoitent4,eu já prometi pra mim mesma tantas e tantas vezes que eu não iria mais me despedaçar,1,I promised myself so many times that I would not fall apart
714,digi_tai_s,N acredito q a Netflix tirou a nova onda do imperador,1,N believe q Netflix took the new wave of the emperor
715,PattyRipardo,A @jacqueromaro vem aq pra casa e nem me depilei pra ela 😭,1,@Jacqueromaro comes here and I don't even shave for her 😭
716,lelenaeu,q voz linda amor,1,"what a beautiful voice, love"
717,JTdeMoraes,cerveja pra curar a ressaca do plantão super indico,1,beer to cure the hangover on duty
718,oitoouoitent4,e eu detesto ser essa garota bad vibes,1,and I hate to be that bad vibes girl
719,taveirao,Freud faria uma FESTA https://t.co/4uL8XLzz8u,1,Freud would have a PARTY https://t.co/4uL8XLzz8u
720,marcelissimaa,"Nada me deixa mais mal humorada que privação de sono 
Tipo hoje. https://t.co/Opb9OXhQ1g",0,"Nothing makes me more moody than sleep deprivation
Like today. https://t.co/Opb9OXhQ1g"
721,poutgif,ontem chorei um monte toma no cu nunca mais confio em pessoa q eh amg do *,0,yesterday I cried a lot take in the ass never trust in person q eh amg do *
722,julia_stiliano,"EU PRECISO saber se mais algum palerma tambem comia fosforo quando era criança, NÃO PODE SER SÓ EU",1,"I NEED to know if any more assholes also ate phosphorus when I was a child, IT CANNOT BE ONLY ME"
723,obsessdw,"odeio ter q ficar escondendo q tenho depressão mano minha família acha q todo mundo é obrigado a colocar um sorriso no rosto e fingir q tem uma vida perfeita, é por isso q mts vezes pessoas com problemas tem vergonha de pedir ajuda",1,"I hate to have to keep hiding q I have depression bro My family thinks that everyone is obliged to put a smile on their face and pretend they have a perfect life, that's why many times people with problems are ashamed to ask for help"
724,Twinckletoes,GPU de 11 teraflops.🤩,1,11 teraflops GPU.🤩
725,2012_jairo,"Animado pra amanhã?
Pra caralho!",1,"Excited for tomorrow?
Fuck!"
726,voguzjin,EU TI SEM ACREDITAR MEU DEUS,0,I WITHOUT BELIEVING MY GOD
727,buyuzinha,Eu tô muito feia e descuidada,0,I'm very ugly and careless
728,soy_girls,"cuide da sua SAÚDE MENTAL. estamos em momento de separações a cada amanhecer, mas saiba que a cada dia você se torna ainda mais forte. se conheça e se ame. #quarentena",1,"take care of your MENTAL HEALTH. we are in a moment of separation every dawn, but know that each day you become even stronger. know yourself and love yourself. #Quarantine"
729,SalesAdail,E também porque foi o Linux que me tirou da depressão e me impulsionou a aprender programação. Linux + programação estabilizaram minha saúde mental. Só tenho gratidão a isso.,1,And also because it was Linux that lifted me out of the depression and pushed me to learn programming. Linux + programming stabilized my mental health. I'm just thankful for that.
730,nusthelinchains,não teve nem um dia em que tenha saído da fase deprimida,0,did not have a day when I left the depressed phase
731,rafaelbttncrt,"não é porque sou diagnosticado com depressão que eu tenho o papel social de ter que ensinar pessoas que não são depressivas a lidar com gente que nem eu

gatilho não é só meme",1,"it is not because I am diagnosed with depression that I have the social role of having to teach people who are not depressive to deal with people like me

trigger is not just meme"
732,thaliatakeda_,Só progresso 👊 https://t.co/W07Awwg6sB,1,Only progress 👊 https://t.co/W07Awwg6sB
733,sbco_oficial,"É dever de todos que cercam #crianças e #adolescentes, como #familiares, #professores e responsáveis legais, os ajudarem a adquirirem #hábitos de vida mais saudáveis, auxiliando na prevenção de doenças.

Nós da #SBCO apoiamos e contribuímos ao combate do #CancerInfantil !",0,"It is the duty of everyone around # children and #adolescents, such as #families, #professors and legal guardians, to help them acquire # healthier lifestyle habits, helping to prevent diseases.

We at #SBCO support and contribute to the fight against #CancerInfantil!"
734,GermanaAngelica,melhor coisa a eu fiz hj foi postar foto pq to recebendo comentários bonitinhos o suficiente p n pensar nas bads q poderiam surgir,1,best thing i did hj was to post a photo cuz i got comments cute enough p n think about the bads q could arise
735,SaturnDiesThin,"Será q tiro foto dos meus acessórios? Pq eu tenho muitos, inclusive eu tenho até uma loja, quem quiser chama dm KKKKKKKK 

Divulgando mas eu nem tenho mais vontade de vender :( odeio depressão",1,"Do I take a picture of my accessories? Because I have many, including I even have a store, whoever wants to call it KKKKKKKK
Disclosing but I don't even want to sell :( I hate depression"
736,harIeenisley,preciso voltar a ler patricia highsmith,0,I need to read Patricia Highsmith again
737,a_gabi_linhares,"A #depressao é uma doença tratável com medicação e atividades psicossociais e uma rede de afetividade e solidariedade também é fundamental para a valorização da vida.

Ponha para fora, não vamos tratar esse tema como tabu.

#setembroamarelo 

🌻🌻🌻🌻🌻🌻🌻🌻",0,"#Depression is a treatable disease with medication and psychosocial activities and a network of affection and solidarity is also fundamental for the appreciation of life.

Put it out, we are not going to treat this topic as taboo.

#yellow

🌻🌻🌻🌻🌻🌻🌻🌻"
738,Hugo_PBarcellos,"na boa, sem ironia... 
papo reto mesmo
esse vídeo aqui é top10 melhores coisas que já vi na vida https://t.co/3MJVXoKXWT",1,"all right, without irony ...
straight talk really
this video here is the top 10 best things I've ever seen in my life https://t.co/3MJVXoKXWT"
739,ricardomottacan,"Para falar com alguém quando pensar em #suicidio 👇👇👇👇👇

                LIGUE 188

#depressao #saude #ajuda NUNCA ESTAMOS SOZINHOS.",0,"To talk to someone when thinking about #suicidio 👇👇👇👇👇

                CALL 188

#depressao #saude #ajuda WE ARE NEVER ALONE."
740,strvvars,nossa na moral não tenho mais 1% de depressão no meu corpo após comer um supercup da anne karine nunca fui triste na minha vida amo tudooo,0,wow I don't have 1% more depression in my body after eating a supercup by anne karine i was never sad in my life i love everything
741,taveirao,Parabéns Brasil. https://t.co/c3ltTKQubi,1,Congratulations Brazil. https://t.co/c3ltTKQubi
742,onmysblock,essa é pra refletir https://t.co/gXbkMUFm4w,1,this is to reflect https://t.co/gXbkMUFm4w
743,_alexandromotta,"Queria ter coragem pra falar da minha experiência com a depressão abertamente, mas ainda me dar um friozinho na barriga! 

Mas as pessoas precisam saber como tenho conseguido vencer e acreditar que elas tbm podem vencer.",1,"I wanted to have the courage to talk about my experience with depression openly, but still give me a little chill in the belly!

But people need to know how I have managed to win and believe that they can also win."
744,nihilistblurs,imaginando aqui a ******* como evelyn hugo e a ******** como celia st james,0,imagining here ******* as evelyn hugo and ******** as celia st james
745,millanesa_,"dorme com djavan e acorda assim
https://t.co/jMTOUEohGu",1,"sleep with djavan and wake up like this
https://t.co/jMTOUEohGu"
746,ThamyrisPaulin1,"Mel me falando que ama quando eu faço torrada, eu me derreto né",1,"Mel telling me he loves it when I make toast, I melt right"
747,4m3b4_,Será que eu tenho depressão?,0,Do I have depression?
748,palmiemo,saudades da mazza apenas,1,miss mazza only
749,trutbts,nossa bighit vc é inacreditável https://t.co/Y0V0M1JCrM,1,our bighit vc is unbelievable https://t.co/Y0V0M1JCrM
750,soseguirai,E vamos de surtos: https://t.co/hjQAwttU2f,0,And we will outbreaks: https://t.co/hjQAwttU2f
751,ACEKYEOM,já passou tanta coisa pela minha cabeça que eu nem sei como isso vai me afetar como fã,0,so much has gone through my head that I don't even know how it will affect me as a fan
752,gabimarciaofc,"O ruim de ser bonzinho(a) é que alguns pensam que você é fraco,bobo,não é uma ameaça,que podem se aproveitar de você e que podem te usar. Mas eu digo:
Nunca queira conhecer o lado ruim de alguém,nunca.",0,"The bad thing about being nice is that some think you are weak, silly, not a threat, that they can take advantage of you and that they can use you. But I say:
Never want to know someone's bad side, ever."
753,emomandrake,eu tenho depressao mesmo ou eh pq sou corinthiano,0,I have depression or it is because I am Corinthians
754,EuricoAlves15,"Ah vey, quando bater a #depressao, #bad, #tristeza ou slá o que der em vc, vá até ao espelho mais próximo e cante em alta voz: ""sou foda""",0,"Ah vey, when you hit the #depressao, #bad, #tristeza or whatever happens to you, go to the nearest mirror and sing out loud: ""I'm awesome"""
755,waIIowsflower,o cara não sabe escrever RAIO como assim vei,1,the guy doesn't know how to write RAY like I saw
756,aceciliag_,isso nem é p mim não,1,this is not even for me
757,sbco_oficial,"📍O diagnóstico de um #tumor, por exemplo, pode causar #ansiedade, #medo, #angústia e também a tão temida #depressão. E de acordo estudos do Observatório de Oncologia, a chance de um paciente oncológico desenvolvê-la pode variar de 22% a 29%.",0,"📍The diagnosis of a #tumor, for example, can cause # anxiety, # fear, # anguish and also the so feared # depression. And according to studies from the Oncology Observatory, the chance of an oncology patient developing it can vary from 22% to 29%."
758,Btoorrez,Saudade voraz de conversar numa roda de amigos(as). Lorota mermo. Putz-grila.,1,Voracious longing to talk to a circle of friends (as). Lorota mermo. Holy cow.
759,avaliabo,"Qual a coisa mais aleatória que você já fez com a língua?
#nofap
#nofapseptember
#nofapsemtembro
#nofapsetembro
#PINTOSAWARDS
#PINTOAWARDS",1,"What's the most random thing you've ever done with your tongue?
#nofap
#nofapseptember
#nofapsemtembro
#nofapsetembro
#PINTOSAWARDS
#PINTOAWARDS"
760,lelenaeu,queria fuma 39 cigarro,1,wanted to smoke 39 cigarettes
761,rafaelbttncrt,colocaram the story of OJ pra tocar do nada aqui no postinho defendam o sus AFU gurizada,1,they put the story of OJ to play out of nowhere here in the post defend your sus AFU kid
762,betinasldn,"vontade dr mandar pra uns familiares ""ah q legal onde q tao distribuindo vacina? quero fazer tb"" pq é tanta gente se aglomerando
eu to c mta raiva
""ah mas é só nós"" ou é ""vai ser pouca gente""
queridx a gente n precisa mais q uma pessoa pra infectar td mundo!",1,"will dr send to family members ""oh how cool where are you distributing vaccine? I want to do it too"" because there are so many people gathering
I'm very angry
""oh but it's just us"" or is ""there will be few people""
queridx we n need more than one person to infect all world!"
763,lobopicasso_,como assim já liberou a vacina CADEEEEE,1,as so already released the CADEEEEE vaccine
764,analuclevelares,"Essa semana minha mãe ficou zombando de mim. 
Dizendo que não tenho depressão.
Tenho ""depressinha"" de vontade de me relacionar com alguém. 
Mano, meu sonho é viver sozinha dentro da minha casa sem precisar ficar ouvindo uns absurdos desses!",1,"This week my mother was mocking me.
Saying I don't have depression.
I have a ""little wish"" to get along with someone.
Bro, my dream is to live alone inside my house without having to listen to some absurdities like that!"
765,gabriel05151734,"Eu to vivendo em uma vibre tão boa tá chegando meu aniversário vou passar com meus melhores amigos e meu namorado e minha família e meu pai vem td pra mim eu amo realmente meus pais ,meus melhores amigos e meu namorado ❤️😍💫",1,"I'm living in such a good vibe my birthday is coming I'm going to spend it with my best friends and my boyfriend and my family and my father comes to me I really love my parents, my best friends and my boyfriend ❤️😍💫"
766,refugioemcrise,"Eu posso odiar a pessoa, mas vou ajudar ela se ela precisar. Mas parece que não funciona quando sou eu 😣",1,"I can hate the person, but I will help him if he needs it. But it doesn't seem to work when it's me 😣"
767,yenaluvie,"s o o y o u n g.
so oy ou ng.
sooyoung.",0,"s o o y o u n g.
just oy or ng.
sooyoung."
768,lelenaeu,gosstaria de ser bonita,1,I would like to be beautiful
769,itsgabriellis,Eu nos TCC que fiz nessa vida https://t.co/hi0PEDsL2d,1,I in the CBT I did in this life https://t.co/hi0PEDsL2d
770,arigatogozei,fui de berço esplêndido ... 💤,1,I went from a splendid cradle ... 💤
771,akutagavhs,"que depressão do caralho eu quero ler logo, mas eu tenho que ter esse pause se não sumo do radar",1,"what a fucking depression I want to read right away, but I have to have this pause if I don’t juice the radar"
772,minhasasneiras,"A internet me assusta. Tava conversando sobre minha depressão e como tenho enfrentado nestes dias e talz com meus amigos, e agora, qualquer rede que eu acesso aparece anúncios sobre depressão. Me sinto vigiada.",1,"The internet scares me. I was talking about my depression and how I have been facing these days and so with my friends, and now, any network I access appears ads about depression. I feel watched."
773,swiftiegguk,olho pras coisas q eu tenho que fazer e me dá depressão,0,I look at things I have to do and it gives me depression
774,weixiLL,"To triste gente ganhei um cupom de 50 reais a cima de 200 minha compra deu 199,00 e a coisa mais barata custa 89 então tipo...não vou comprar mais 89 pra ganhar o cupom...#depressao",0,So sad we won a coupon of 50 reais over 200 my purchase was 199.00 and the cheapest thing costs 89 so like ... I will not buy 89 more to win the coupon ... # depression
775,GoudardHelena,Meus pais tem uma dificuldade em ir direto p casa,1,My parents have a hard time going straight home
776,idfchae,procurem ajuda https://t.co/oqrgrSUXOc,0,seek help https://t.co/oqrgrSUXOc
777,odeiobozonaro,Pronto. https://t.co/3u2LCREFXr,1,Ready. https://t.co/3u2LCREFXr
778,Naty_snas,"Até amizade que eu pensei que nunca iria me mandar mensagem, me mandaram, ligaram",1,"Even friendship that I thought would never send me a message, they sent me, they called"
779,wtfnatan,nossa as mais injustiçadas pqp... https://t.co/K7mascOgE7,0,our most wronged pqp ... https://t.co/K7mascOgE7
780,soseguirai,"no fundo a gente só quer encontrar alguém q não desista da gente 
#depressao #sentimetal #triste #ConceitoLGBTQ",0,"deep down we just want to find someone who doesn't give up on us
#depressao #sentimetal #triste #ConceitoLGBTQ"
781,alan4lemos,"Não confio em quem assiste Friends e acha graça, queria saber o segredo https://t.co/FpTQOEopEL",1,"I don't trust anyone who watches Friends and thinks it's funny, I wanted to know the secret https://t.co/FpTQOEopEL"
782,habitlaurj,"nossa, quero ! https://t.co/KiSB3GQZqs",1,"wow, I want! https://t.co/KiSB3GQZqs"
783,voguzjin,PELO AMOR DE DEUEEEEUSUSUAHHEUDDUJWJEJR,0,FOR THE LOVE OF DEUEEEEUSUSUAHHEUDDUJWJEJR
784,Sosotcia,"e eu tenho muito medo do filme que esse musical vai se tornar, porque meu deus, ninguém consegue falar sobre depressão sem matar alguém nas produções",0,"and I'm very afraid of the movie that this musical will become, because my god, nobody can talk about depression without killing someone in the productions"
785,fuckkingdave,percebi que sou adulto quando com todo mundo na cozinha eu enfiei uma colher de leite em pó na boca e ngm brigou comigo,1,I realized that I am an adult when with everyone in the kitchen I stuck a spoonful of powdered milk in my mouth and ngm fought me
